customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,Yes,No,31,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.0415642360174,2793.0254456876646,No
CUST0002,Female,0,Yes,No,4,Yes,No,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,No,Electronic check,55.30626807941195,220.6689222692095,No
CUST0003,Female,1,Yes,No,10,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),90.97512177625147,907.2138808518953,Yes
CUST0004,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),65.29835983563952,1696.4839644261037,No
CUST0005,Male,1,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),84.48695595288592,1266.8568857876264,No
CUST0006,Male,0,No,Yes,32,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,94.77407330893229,3034.943444664538,No
CUST0007,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.930590543067098,2225.397468397222,No
CUST0008,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.22694092631696,58.52238121371367,No
CUST0009,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,No internet service,Two year,No,Electronic check,95.52406599911902,2769.232404010246,No
CUST0010,Female,0,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No,One year,No,Mailed check,84.7133117546296,508.0360877945485,No
